Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
jeremanais23;metz, france;0;0;50;10/2020;le souffle coupe;10/2020
routardinho;bordeaux, france;0;0;50;08/2020;magique;08/2020
blackbird _ 571;thionville, france;0;0;50;07/2020;ouais;07/2020
pernellevoyage;montreal, canada;0;0;50;04/2020;le canyon de tous les superlatifs, a voir dans une vie;05/2019
lebubu;noisy le grand, france;0;0;30;04/2020;iconique mais lassant.;09/2019
labiton;gatineau, quebec;0;0;50;03/2020;a voir a differents moments de la journee;02/2020
bernardpretet;dol de bretagne, france;0;0;50;01/2020;vertigineux ;01/2020
golfette gourmande;nice, france;0;0;50;01/2020;road trip, etape grand canyon;05/2019
maroline57140;metz, france;0;0;50;01/2020;magnifique parc;06/2019
nini3076;diemoz, france;0;0;50;12/2019;comment vous en prendre plein les yeux;08/2019
eric j;dieppe, france;138;113;50;12/2019;un incontournable de l ouest americain;05/2019
nanrichard;montreal, canada;6;6;50;12/2019;grandiose;10/2019
vero eric 38;grenoble, france;255;106;40;11/2019;grand, mÃªme tres grand voir trop grand ðŸ˜‚;09/2019
alextripps;vetralla, italie;11;14;50;11/2019;sensationnel;10/2019
aurelie f;chevreuse, france;139;94;50;10/2019;inoubliable ;09/2019
jin54;longwy, france;318;238;50;10/2019;innoubliable;09/2019
madkhap;paris, france;66;43;40;10/2019;a faire mais pas le plus beau;08/2019
sylvie r;geneve, suisse;226;178;50;10/2019;il faut le voir une fois dans sa vie ;07/2019
juliederennes;rennes, france;22;48;50;09/2019;sublime;08/2019
orianeb10;saintes, france;35;51;50;09/2019;voyage en famille;09/2019
jean j;marseille, france;1020;786;30;09/2019;pas le plus beau.;09/2019
randonneux;papeete, polynesie francaise;114;105;50;09/2019;la beaute du grand canyon;12/2018
jean marie n;roissy en brie, france;78;88;50;09/2019;la beaute de la nature;08/2019
densmireille;bruxelles, belgique;2;2;50;09/2019;magnifique;07/2019
stefd65;saint nazaire, france;72;63;50;08/2019;immensite;08/2019
nescro83;bretagne, france;78;107;50;08/2019;incroyable;07/2019
stan33160;bordeaux, france;74;83;50;08/2019;magique;08/2019
framboises2b;corse, france;158;94;50;08/2019;grandiose;08/2019
e3668efnathalied;puteaux, france;24;44;50;08/2019;splendide ;08/2019
douzeman;lyon, france;71;60;50;08/2019;obligatoire;08/2019
laurasara23;san francisco, californie;57;68;50;08/2019;acces poussettes ok;08/2019
ppeyrard;lyon, france;710;456;50;08/2019;fabuleux;08/2019
laurent h;clichy, france;185;99;50;08/2019;magnifique;07/2019
crycryfa;canet, france;266;144;50;08/2019;magnifique;07/2019
harold n;spay;52;65;50;07/2019;c est juste ... superbe;07/2019
ledavalex;saint laurent du var, france;328;209;50;07/2019;trip depuis las vegas;06/2019
le0nie1234;besancon, france;2;2;50;07/2019;genial;07/2019
waterb52;bruxelles, belgique;230;114;50;07/2019;magnifique;07/2019
sergeanita;briscous;125;136;50;07/2019;le choc visuel;06/2019
filouk30;nÃ®mes, france;76;84;50;07/2019;grandiose;07/2019
destinationpaschere;nice, france;3;4;50;06/2019;magnifique;11/2018
670julienk;vallans, poitou charentes, france;134;77;50;06/2019;magnifique;06/2019
agnes d;saint aygulf, france;22;26;50;06/2019;une des merveilles du monde site grandiose;04/2019
1988155032;repentigny, canada;93;182;50;06/2019;a voir;05/2019
g p;montreal, quebec, canada;785;425;50;05/2019;incontournable;05/2019
yul007;ans, belgique;127;73;50;04/2019;arriver par desert view;05/2018
miltinmtl;montreal, canada;71;26;50;04/2019;grandiose;03/2019
helloditpous;Ã®le de france, france;71;31;50;03/2019;magnifique;03/2019
771juliell;saint eustache, canada;36;15;50;02/2019;des paysages incroyables;10/2018
bannik;canton of neuchatel, suisse;246;148;50;01/2019;accessible et sympa;01/2019
g00bees;neuilly en thelle, france;80;13;50;01/2019;grandiose;04/2018
floriane f;bletterans, france;7;1;50;01/2019;magnifique paysage;11/2018
kiwiswiss9;paris, france;656;923;50;01/2019;magnifique, indescriptible;01/2019
porty38;goncelin, france;39;34;50;01/2019;a couper le souffle;10/2018
michel l;rouyn noranda, canada;212;106;50;12/2018;8 iemes merveille;10/2018
teranace;villers cotterets, france;205;65;50;11/2018;a couper le souffle;10/2018
ftrusz;paris, france;576;218;50;11/2018;epoustouflant ;11/2018
val8lys;lyon, france;108;36;50;11/2018;a couper le souffle ;10/2018
renaud r;clermont ferrand, france;58;20;50;11/2018;un emerveillement  du jamais vu ailleurs  grandiose ;10/2018
mgc0282;marseille, france;69;69;50;10/2018;merveille du monde a ne rater sous aucun pretecte;10/2018
isabelleb575;valflaunes, france;91;58;50;10/2018;fabuleux;10/2018
ilie44;guerande, france;336;138;50;10/2018;grandissime grand canyon;06/2018
bruaix13;aix en provence, france;110;65;50;10/2018;un seul mot : splendide ;09/2018
famillenoisette;lille, france;136;123;50;09/2018;epoustouflant, vertigineux, grandiose;08/2018
patqc65;quebec (ville), canada;271;477;50;09/2018;enorme;08/2018
veroniquejeannot18;nice, france;118;96;50;09/2018;a vos selfies ...;07/2018
firerblade;dublin, irlande;9;9;50;09/2018;point de passage oblige;08/2018
lousaintclair2414;marseille, france;139;119;50;09/2018;magnifique ;09/2018
gerald k;paris, france;211;101;50;09/2018;magnifique et spectaculaire;09/2018
arnaud b;maillezais, france;87;52;50;08/2018;passage obligatoire;07/2018
deversaillesabangkok;viroflay, france;271;116;50;08/2018;le roi des canyons;08/2018
sergiodebablin;estrablin, france;76;7;50;08/2018;vacances en californie;08/2018
jeromeattal;paris, france;58;26;10;08/2018;parc d attraction naturelle;08/2018
joelmaryvonne;ivry sur seine, france;288;78;50;08/2018;magique;08/2018
tigi06;grasse, france;19;3;50;08/2018;a faire obligatoirement;08/2018
ouasfi70;basse terre island, guadeloupe;16;3;50;08/2018;grand canyon south rim;08/2018
stephanie d;morainvilliers, france;93;48;50;08/2018;paysages sublimes;08/2018
virferdast;chambery, france;145;87;50;08/2018;tres beau;08/2018
matisse78100;venise, italie;43;25;50;08/2018;juste magnifique...of course.;08/2018
vanessab217;tourrettes sur loup, france;247;124;50;08/2018;magnifique;08/2018
cmoja;savoie, france;741;264;50;08/2018;a profitez au lever du soleil;07/2018
annick13;canton de sarajevo, bosnie herzegovine;176;160;50;08/2018;beau canyon ;08/2018
jeanc671;paris, Ã®le de france, france;155;93;50;08/2018;gigzntesque et unique;08/2018
sandsoenvoyage;paris, france;17;1;50;08/2018;endroit exceptionnel;08/2018
soniam939;indonesie;34;17;50;08/2018;amazing ;08/2018
elsaaa77;france;26;10;40;07/2018;un incontournable;07/2018
911959;royan, france;184;45;50;07/2018;superbe;07/2018
pascaler221;evian les bains, france;41;23;50;07/2018;grand canyon;07/2018
valnatcla;gisors, france;34;10;50;07/2018;magnifique ;07/2018
dumbea;noumea, nouvelle caledonie;33;5;50;07/2018;grandiose;07/2018
292anniei;courbevoie, france;204;109;50;07/2018;sublime;06/2018
cecilecv;saintes, france;51;13;50;06/2018;magnifique;06/2018
jlf2305;luisant, france;203;113;50;06/2018;grandiose;06/2018
jeanyves06510;carros, france;103;23;50;06/2018;merveilleux;05/2018
alexandrel970;angoulÃªme, france;32;30;50;06/2018;plein les yeux;04/2018
lilcy54;creteil, france;29;8;50;05/2018;juste un mot : whaouh ;05/2018
pierre h;paris, france;38;8;50;05/2018;une des 7 merveilles au monde, majestueux, grandiose, epoustouflant;04/2018
alexis2016;mane, france;114;58;50;05/2018;a faire idealement en dernier lors de votre road trip.;04/2018
global_6095;ville de compiegne, france;164;81;50;05/2018;fantastique et pas trop bonde;05/2018
nanou14970;caen, france;77;46;50;04/2018;waouh;04/2018
mrm637;paris, france;89;89;50;04/2018;sublissime ;04/2018
freboi;paris;66;58;50;04/2018;incroyable;04/2018
930jeanlucs;freyming merlebach, france;205;193;50;04/2018;un must see;04/2018
xenoross;thouars, france;89;109;50;04/2018;olala impressionnant;04/2018
monray_34;sete, france;146;77;50;02/2018;a faire sans hesiter;02/2018
jeanbs1291xx;warwick, canada;32;35;30;02/2018;visite faite a partir de las vegas par bus;02/2018
longabergerlady;oconto falls, wisconsin;220;56;50;10/2021;vacation in arizona;10/2021
lcatawhite;knoxville, tennessee;33;10;50;10/2021;grand canyon bucket list;09/2021
bjolds;stafford, virginie;89;15;50;09/2021;breathtaking views;09/2021
lisamarie l;madison, wisconsin;408;147;50;09/2021;an american treasure;08/2021
annelj273;columbus, ohio, united states;12;14;50;09/2021;national park grand canyon;09/2021
teniswhiz;chicagoland, il;11;7;50;09/2021;beautiful;09/2021
kevin s;etats unis;11;1;50;09/2021;one of the most amazing sites on this earth;09/2021
john d;dallas, texas;36;28;50;09/2021;awesome trip to grand canyon combined with trip to sedona and flagstaff;08/2021
postal49740;boyne city, michigan;422;159;50;09/2021;big;09/2021
1960tn;goodlettsville, tennessee;69;37;50;09/2021;stay hydrated;09/2021
stephen s;petal, mississippi;314;102;50;09/2021;awesome sunset;08/2021
marilou2108;miami, floride;62;50;50;09/2021;wonderful nature;08/2021
skier259;spearfish, dakota du sud;781;205;50;09/2021;unrivaled view;09/2021
pwrof3;huntington beach, californie;46;13;50;08/2021;beautiful and serene;08/2021
katiedv2059if;michigan;17;5;50;08/2021;beautiful place;08/2021
romadaro;washington, district de columbia;1338;1158;30;08/2021;disappointing;08/2021
831patriciar;milwaukee, wisconsin;175;34;40;08/2021;out for a drive;08/2021
veggieohio;chardon, ohio;58;28;50;08/2021;amazing and terrifyingly bbeautiful;08/2021
acoachcool;san diego, californie;231;87;50;08/2021;what a view;08/2021
jeff f;cleveland, ohio;60;99;50;08/2021;you have to see it in person;08/2021
travelfamily2015;san carlos, californie;76;47;50;08/2021;incredible experience â€” here s some tips;07/2021
cathy l;leland, caroline du nord;418;97;50;08/2021;the views;10/2020
romamama2015;kingdom city, missouri;26;9;50;08/2021;prepare to be overwhelmed;07/2021
faraway211632;lincoln park, michigan;128;75;50;07/2021;nice day trip;06/2021
tony b;manhattan, kansas;199;89;50;07/2021;amazing experience;07/2021
ajayjm;plano, texas;101;119;50;07/2021;nature at its best;07/2021
859kristyns;hemet, californie;60;36;50;07/2021;wowed by the majestic grand canyon;07/2021
geoc393;temple city, californie;5;3;50;07/2021;beautiful;06/2021
tammil_11;denton, texas;271;84;50;07/2021;breath taking view;06/2021
mommyof4greatkids;ooltewah, tennessee;217;111;50;07/2021;go, go go;06/2021
schoosier53;simpsonville, caroline du sud;85;24;50;07/2021;it s a grand canyon;07/2021
christine s;stone mountain, georgie;11;25;50;07/2021;grand view;05/2021
454christinac;nashville, tennessee;1195;436;50;07/2021;spectacular. does get hot in the summer.;07/2021
ambersahoy;haines city, floride;32;46;50;07/2021;what did you expect mediocre canyon;03/2021
richard s;longmont, colorado;318;101;50;07/2021;still grand after all these years;06/2021
emarsh69;vacaville, californie;333;97;50;06/2021;absolutely beautiful;06/2021
halw2m;colorado springs, colorado;24;22;50;06/2021;breath taking;06/2021
matthew j;buena park, californie;383;236;50;06/2021;surreal and immense;06/2021
jjw_ratings;houston, texas;83;85;40;06/2021;nice but it looks better in pics than reality;05/2021
mrbucketlist;clearwater, floride;90;204;50;06/2021;everything i wanted plus more;06/2021
justinct123;lancaster, pennsylvanie;89;41;50;06/2021;arrive early;06/2021
angie d;roseburg;76;77;50;06/2021;once in a lifetime experience worth making the trip;06/2021
jtull55;san francisco, californie;108;75;50;06/2021;a must see for anyone in the us;06/2021
jtull55;san francisco, californie;108;75;50;06/2021;a must see natural attraction;06/2021
izhaymama;prattville, alabama;7;0;50;06/2021;summer time at the south rim;06/2021
militraywifeandmom;lee s summit, missouri;84;14;50;06/2021;beautiful;06/2021
minnes0tagirl;saint cloud, minnesota;31;6;50;06/2021;take your time and soak it all in;06/2021
melwashere81;cleveland, texas;233;64;50;06/2021;breathtaking;06/2021
stonefinder1;louisville, kentucky;140;82;50;06/2021;park is in a sad state of repairs;06/2021
iteachpc;jacksonville, floride;75;42;50;06/2021;breathtaking views;06/2021
michael s;chicago, illinois;153;76;50;06/2021;breath taking;06/2021
semira m;minneapolis, minnesota;114;139;50;06/2021;the best;06/2021
cmanis01;saint augustine, floride;351;139;50;06/2021;super great place to see canyon.;06/2021
stuck nomo;waxahachie, texas;21;4;50;06/2021;fabulous but food is scarce;06/2021
danielle1944;albuquerque, nouveau mexique;133;87;50;06/2021;amazing sunrise and sunset;05/2021
nancy g;miami, floride;43;47;50;06/2021;mesmerizing;05/2021
radarman123;floride centrale, floride;200;135;50;05/2021;must see;05/2021
trail49854218913;eugene, oregon;20;2;50;05/2021;best vistas, especially for travelers with disabilities. easy to navigate. train offers ada shuttles.;05/2021
balancedmommy;savannah, georgia, united states;49;22;50;05/2021;indeed grand;05/2021
teniseetraveler;jacksonville, floride;360;131;50;05/2021;breathtaking;05/2021
e620vmandreaw;austin, texas;3;1;50;05/2021;loved the canyon, food not so much;05/2021
louann r;pittsburgh, pa;34;7;50;05/2021;wonderful experience;05/2021
blondesteven;los angeles, californie;70;157;40;05/2021;beautiful canyon   frustrated visit for lack of services   staff;05/2021
westernpaandiamo;fernandina beach, floride;179;114;50;05/2021;go at sunset;05/2021
poodletoes;dayton, ohio;294;211;50;05/2021;review for those who do not hike down into the canyon;05/2021
tmack82;birmingham, alabama;109;83;50;05/2021;majestic;05/2021
jjjc_family;virginia;440;342;50;05/2021;teddy roosevelt was right   you can t improve it.;05/2021
michael h;rocky river, ohio;639;87;50;05/2021;we hiked miles;04/2021
ulyanainstars;moscou, russie;203;379;50;05/2021;nature masterpiece: you must see it;05/2021
