Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
tastefullycoco;warrington, pennsylvanie;573;141;50;06/2021;enjoyable;06/2021
kren250;iowa;565;689;50;06/2021;a very worthwhile stop.;06/2021
afnviking36;rota, andalucia, spain;15;20;50;06/2021;catholic service outside;05/2021
mark d;weatherford, texas;597;249;50;06/2021;very quaint;06/2021
christopher v;new york, etat de new york;649;320;50;05/2021;quick stop on the mission trail;05/2021
markhw8437vb;None;5;5;40;05/2021;highly recommended;05/2021
russella668;portland, oregon;142;93;40;04/2021;cute little church at the end of the trail;04/2021
zamboni12043;myrtle beach, caroline du sud;11;7;40;04/2021;small, but nice;04/2021
rtnw;austin, texas;1175;111;40;03/2021;interesting and at the end of our trip;03/2021
bunmaster2014;boca raton, floride;2298;1206;30;01/2021;remnants, relics and a chapel;01/2021
jerrysr9678qb;owasso;86;12;50;10/2020;wow, un autre beau morceau d histoire.;10/2020
954gagec;houston, texas;41;11;50;03/2020;la plus isolee des missions;03/2020
james f;dayton, texas;25;47;40;02/2020;joli petit endroit.;02/2020
tatts15;centennial, colorado;391;117;50;01/2020;formidable;01/2020
boo2u;bowie, maryland;328;334;40;01/2020;c est petit;12/2019
randifayec;longwood, floride;972;324;40;01/2020;petit mais ne manquez pas;12/2019
tabristoluk;bristol, royaume uni;56;30;50;01/2020;peut être la plus petite et la plus douce des missions a la fin du sentier;01/2020
joern5828yq;detroit, michigan;51;34;50;01/2020;magnifique;12/2019
grover r;pensacola, floride;1803;1085;50;11/2019;do not miss this secluded gem. not just history but living today.;11/2019
1164jeanneb;san antonio, texas;19;2;50;11/2019;paisible;10/2019
travelerfromsj;san jose, californie;507;665;40;11/2019;petite eglise;11/2019
rachels1689;pittsburgh, pennsylvanie;81;42;40;11/2019;pittoresque;11/2019
417juliec417;glen ellyn, illinois;50;49;50;10/2019;partie d un grand week end;10/2019
panorby;breckenridge;5;0;50;10/2019;mission espada;09/2019
dawn c;virginia beach, virginie;104;75;50;09/2019;vraiment sympa, mais n a pas penetre a l interieur;08/2019
749rachelm;austin, texas, united states;61;20;40;07/2019;la plus petite des missions;07/2019
maryq46;san antonio, texas;155;125;50;07/2019;belle eglise, beau terrain;06/2019
alamosmexico;alamos, mexique;38;24;50;06/2019;mission espada a touche mon âme;08/2018
olphart48;austin, texas;28;6;50;06/2019;mon prefere;06/2019
mojomo;texas;397;221;50;06/2019;sentiment tres paisible;06/2019
sharon g;lubbock, texas;186;51;50;06/2019;detendez vous a l ombre des arbres, des fleurs et des plantes;06/2019
rolf a;chicago, illinois;399;91;50;06/2019;fine mexican baroque in texas;06/2019
fietsen1;texas;145;77;40;05/2019;nice find;05/2019
asdavis14;fort worth, texas;83;53;30;05/2019;beautiful small mission;05/2019
didi02453;boston ma;96;33;40;05/2019;interessant;05/2019
timothy m;groton, united states;143;15;40;05/2019;beau bâtiment de la mission, pas aussi accessible qu il pourrait l être;04/2019
foxtrot79;mount pleasant, texas;46;7;50;04/2019;tres interessant;04/2019
jp_y_lp;portland, oregon;276;141;50;04/2019;mieux que prevu;04/2019
m e r;boynton beach, floride;384;170;30;04/2019;petite eglise de mission avec quelques salles restaurees;04/2019
rpkasper;lewiston, idaho;26;25;50;04/2019;mission n ° 1;03/2019
polka dot umbrella;cincinnati, ohio;128;55;40;04/2019;faites toute la tournee de la mission de san antonio;04/2019
chicago90phoenix;phoenix;1240;466;40;03/2019;visite obligatoire si vous êtes un fan de mission comme moi;03/2019
saexplorers;little rock, arkansas;141;40;50;03/2019;plus d histoire que j ai realise.;03/2019
olivert340;blaine, minnesota;52;10;50;03/2019;awesome history;03/2019
holly w;reading, pennsylvanie;410;150;40;02/2019;vaut la visite;02/2019
auntiem64;eastern nc;294;268;30;02/2019;une belle petite mission;02/2019
carole m;des moines, united states;155;77;40;02/2019;une des plus petites missions sur le sentier;02/2019
i9399njgemmas;None;103;50;20;02/2019;peut lui donner un mkss;02/2019
b1714d;belgrade, serbie;3780;3008;40;02/2019;le plus eloigne;01/2019
sgeries;yukon, oklahoma;106;32;50;02/2019;belle mission, excellent centre d accueil et boutique de cadeaux;02/2019
bwanderer1;everett, etat de washington;590;175;50;01/2019;less trafficked than the others;12/2018
bill k;mchenry, illinois;87;35;50;01/2019;un bel endroit pour mediter;02/2018
gay e;houston, texas;434;128;50;01/2019;beau;12/2018
carron d;bismarck, dakota du nord;327;106;30;12/2018;la plus ancienne des eglises de la mission de san antonio;12/2018
juliebfromindy;indianapolis, indiana;652;317;40;12/2018;la vie de mission;12/2018
aviatrx;san antonio, texas;82;64;30;12/2018;grand velo sur mission trail regardez vos affaires   enfants;12/2018
extroop;fort worth, texas;102;34;50;12/2018;site historique de charme;12/2018
nowpacking;dallas, texas;1181;462;50;12/2018;just beautiful;12/2018
gumgrove;spring, texas;558;189;50;12/2018;final stop on mission trail;12/2018
cjtravelertexas;bryan, texas;2056;2045;40;11/2018;une autre mission historique;11/2018
0325johanna;boston, massachusetts;60;26;50;11/2018;merveilleux;11/2018
716sachink;plainview, etat de new york;1113;17134;40;11/2018;qui vaut le coup d être visite;02/2018
bncrxplorerz;pittsburgh, pennsylvanie;294;328;50;11/2018;jardin des delices;10/2018
usalouise;illinois;170;128;50;11/2018;petit mais charmant;10/2018
funtimefamily12;lake ronkonkoma, etat de new york;661;271;30;09/2018;looks like it did in 1731;08/2018
jim r;cullman, alabama;97;28;50;08/2018;this was first stop;08/2018
alan c;floresville, texas;9;0;50;08/2018;a history we almost cant imagine but... it happened here first.... hundreds of years ago.;08/2018
autumncs;singapour, singapour;187;123;50;08/2018;charming place with no crowds;08/2018
ccalvillo8;None;65;19;40;08/2018;beautiful place to visit;08/2018
davej708;texarkana, texas;168;43;40;07/2018;farthest south mission;07/2018
poserk13;saint petersbourg, floride;199;58;50;07/2018;beautiful;04/2018
ocean_rover_blue_wat;lafayette, louisiane;513;203;50;07/2018;a lesser mission;06/2018
lovebooks51;edwardsville, illinois;129;30;50;06/2018;small but charming;06/2018
curtisjamesh;oklahoma city, oklahoma;64;51;40;06/2018;one of the missions to explore and come to.;06/2018
cepjr238;virginia beach, virginie;77;22;50;06/2018;ca vaut le detour ;04/2018
nazkar14;north fort myers, floride;82;17;50;05/2018;one of the (5) missions we visited on our vacation.;05/2018
qualityjoe;brunswick, ohio;61;21;50;05/2018;quality joe s review of mission san francisco de la espada;04/2018
onova2014;moscou, russie;774;400;40;05/2018;small and convinient;05/2018
conniec779;dallas, texas;676;324;50;05/2018;lovely grounds and church;05/2018
shuttrrbug;sugar land, texas;521;237;50;05/2018;photographers paradise, smallest and most unique mission in san antonio;04/2018
robert s;chaska, minnesota;292;151;50;04/2018;my favorite;04/2018
allanjgj;wellington, nouvelle zelande;1570;1763;50;04/2018;the bells, the bells;04/2018
beverly w;reading, pennsylvanie;24;9;50;04/2018;see them all;04/2018
linda h;anderson, south carolina;294;74;40;04/2018;worth a visit for history buffs;04/2018
119krystlel;None;35;11;40;04/2018;whitewash mission with adorable cottage;04/2018
samanthao520;cincinnati, ohio;354;200;20;03/2018;lots of ruins;03/2018
rod k;nokomis, floride;494;163;40;03/2018;at the southern end of mission trail, but worth the visit;03/2018
davisjd2017;salisbury, caroline du nord;66;10;50;02/2018;mission espada;01/2018
jeannene a;hannacroix, etat de new york;561;270;40;02/2018;glad we went;02/2018
vanski;ottawa, canada;110;35;50;02/2018;excellent architecture;01/2018
stephan e;angeles city, philippines;290;118;30;01/2018;this mission would be 3rd place of the four missions;01/2018
bzimm08;okinawa prefecture, japon;1199;660;50;01/2018;small and beautiful;01/2018
123sdf;seoul, coree du sud;358;40;50;08/2018;개인적으로 미션들 중 가장 아름다웠던 미션 에스파다;07/2018
