Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
ericdf9067al;tuchan, france;201;97;50;03/2019;peut être la plus belle mission de la region;03/2019
bb91600;savigny sur orge, france;99;74;50;03/2019;typique, merite le detour;10/2018
novian;lille, france;254;137;50;07/2018;visite interessante;07/2018
jay p;bangalore, inde;199;87;50;09/2021;great place to visit;09/2021
rebeccabrabb;west monroe, louisiane;477;123;50;09/2021;favorite;07/2021
676janieh;south bend, indiana;39;8;50;08/2021;tour;08/2021
isthmuse;madison, wisconsin;247;157;50;07/2021;fantastic historical experience;07/2021
thomas v;oakland, californie;11092;3012;30;07/2021;old spanish chuch;04/2021
kren250;iowa;565;689;50;07/2021;an absolute must see;07/2021
tastefullycoco;warrington, pennsylvanie;573;141;50;06/2021;beautiful;06/2021
afnviking36;rota, andalucia, spain;15;20;50;06/2021;bike ride to the missions;04/2021
jennieb97140;portland, oregon;23;7;50;06/2021;beautiful site;06/2021
mark d;weatherford, texas;597;249;50;06/2021;absolutely fabulous bring your kids;06/2021
christopher v;new york, etat de new york;649;320;50;05/2021;best of the four missions;05/2021
merritto2011;texas;134;65;50;05/2021;lovely historic site;05/2021
cathyp1953;myrtle beach, caroline du sud;1223;347;50;05/2021;beautiful;05/2021
python574;mount juliet, tennessee;671;227;40;04/2021;great history here;05/2020
russella668;portland, oregon;142;93;50;04/2021;top notch historical site;04/2021
lametriah;None;6;1;50;04/2021;beautifully kept land;03/2021
zamboni12043;myrtle beach, caroline du sud;11;7;40;04/2021;great place to visit;04/2021
erica c;orwell;60;40;50;04/2021;the best stop;04/2021
o8059taamandaa;clinton, missouri;13;5;50;04/2021;my favorite stop in san antonio;02/2021
clucumber;quincy, illinois, united states;73;32;50;03/2021;lovely mission;03/2021
markamiazga;baltimore, maryland, united states;3;3;40;03/2021;pretty;03/2021
rtnw;austin, texas;1175;111;40;03/2021;the best of the missions.;03/2021
pauldv4145le;ballwin, missouri;35;45;40;03/2021;was nice and see entire mission ground;03/2021
cdandoy;gilbert, arizona;284;167;50;03/2021;fantastic;03/2021
travelaandd;loveland, colorado;146;99;50;01/2021;beautiful and interesting;01/2021
goseedophotos;howell, michigan;160;65;50;01/2021;beautiful old church;01/2021
bunmaster2014;boca raton, floride;2298;1206;40;12/2020;historical time capsule;12/2020
tisanay;vidor, texas;39;32;50;12/2020;wow;12/2020
ryan_norris1776;prosper, texas;79;66;50;12/2020;great treasure;12/2020
rc51cgy;houston, texas;150;105;40;11/2020;interesting visit;10/2020
mcgraw84;wisconsin;20;4;50;11/2020;niece was married here;10/2020
jerry f;pilot point, texas;262;120;50;10/2020;touring;10/2020
jerrysr9678qb;owasso;86;12;50;10/2020;endroit magnifique;10/2020
waunderlust_forever;houston, texas;845;257;50;10/2020;beautiful;10/2020
