Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
rationalm633;None;9;9;50;07/2021;my favorite of the san antonio missions;05/2021
tastefullycoco;warrington, pennsylvanie;573;141;50;06/2021;quiet and beautiful;06/2021
mark d;weatherford, texas;597;249;50;06/2021;start your mission tour here;06/2021
christopher v;new york, etat de new york;649;320;50;05/2021;quaint mission;05/2021
kren250;iowa;565;689;50;05/2021;very peaceful;05/2021
russella668;portland, oregon;142;93;30;04/2021;not quite as cool;04/2021
rtnw;austin, texas;1175;111;40;03/2021;well worth the stop;03/2021
bill b;pueblo, colorado;723;308;50;10/2020;incredible facility;10/2020
jerrysr9678qb;owasso;86;12;50;10/2020;quel endroit a visiter.;10/2020
kythoro;lexington, caroline du sud;796;718;40;10/2020;mission historique;10/2020
954gagec;houston, texas;41;11;50;03/2020;interessant comme toutes les missions;03/2020
daydream189600;None;5;1;50;02/2020;mission sanjuan;02/2020
axj23;cincinnati, ohio;177;81;50;02/2020;magnifique;02/2020
tatts15;centennial, colorado;391;117;50;01/2020;interessant;01/2020
boo2u;bowie, maryland;328;334;50;01/2020;similaire aux autres missions mais different;12/2019
gbamandar;green bay, wisconsin;170;59;50;01/2020;sentiers de randonnee;01/2020
randifayec;longwood, floride;972;324;40;01/2020;super arrêt sur la piste;12/2019
dizzybeez;culpeper, virginie;18;21;50;01/2020;mission san juan;01/2020
joern5828yq;detroit, michigan;51;34;50;01/2020;magnifique;12/2019
grover r;pensacola, floride;1803;1085;40;11/2019;the most modest of the missions;11/2019
travelerfromsj;san jose, californie;507;665;40;11/2019;en construction;11/2019
rachels1689;pittsburgh, pennsylvanie;81;42;40;11/2019;un peu d histoire;11/2019
417juliec417;glen ellyn, illinois;50;49;50;10/2019;un incontournable;10/2019
696johni;None;6;1;50;10/2019;cool;10/2019
dawn c;virginia beach, virginie;104;75;50;09/2019;juste magnifique;08/2019
debra m;None;57;58;40;08/2019;jolis terrains;08/2019
barry b;san antonio, texas;224;23;50;06/2019;nous sommes alles avec notre groupe de la marine;10/2018
asdavis14;fort worth, texas;83;53;30;05/2019;small humble mission;05/2019
roy h;None;32;14;30;05/2019;une des missions rinky dink sur la piste;04/2019
fellowtraveler14380;rochester, etat de new york;11;0;40;05/2019;belle petite mission;04/2019
foxtrot79;mount pleasant, texas;46;7;50;04/2019;grand site historique;04/2019
jp_y_lp;portland, oregon;276;141;40;04/2019;jolie petite chapelle;04/2019
m e r;boynton beach, floride;384;170;40;04/2019;eglise romane nue dans une grande mission le long de la riviere;04/2019
rpkasper;lewiston, idaho;26;25;50;04/2019;mission tour;03/2019
timothy m;groton, united states;143;15;50;04/2019;un petit bijou;04/2019
olivert340;blaine, minnesota;52;10;50;03/2019;awesome history;03/2019
auntiem64;eastern nc;294;268;20;02/2019;pas grand chose a voir;02/2019
carole m;des moines, united states;155;77;50;02/2019;souvent neglige, mais merite une breve visite;02/2019
i9399njgemmas;None;103;50;20;02/2019;peut lui manquer;02/2019
b1714d;belgrade, serbie;3780;3008;30;02/2019;the least interesting one;01/2019
sgeries;yukon, oklahoma;106;32;40;02/2019;temps interessant;02/2019
bwanderer1;everett, etat de washington;590;175;40;01/2019;the largest, most touristy;12/2018
bill k;mchenry, illinois;87;35;50;01/2019;une autre retraite tranquille;02/2018
carron d;bismarck, dakota du nord;327;106;30;12/2018;une tres vieille eglise;12/2018
juliebfromindy;indianapolis, indiana;652;317;40;12/2018;eglise de granary;12/2018
extroop;fort worth, texas;102;34;50;12/2018;mission abueautif;12/2018
gumgrove;spring, texas;558;189;50;12/2018;worth stopping for;12/2018
sgtshan;muncie, indiana;107;58;40;12/2018;texas en decembre;12/2018
cjtravelertexas;bryan, texas;2056;2045;40;11/2018;qui vaut le coup d être visite;11/2018
0325johanna;boston, massachusetts;60;26;50;11/2018;joli endroit;11/2018
baja001;the villages, floride;232;82;40;11/2018;une des meilleures missions de san antonio le long de mission trail;11/2018
lynnc9864;armada, michigan;52;17;50;11/2018;mon prefere des 5;11/2018
716sachink;plainview, etat de new york;1113;17134;40;11/2018;qui vaut le coup d être visite;11/2018
bncrxplorerz;pittsburgh, pennsylvanie;294;328;50;11/2018;petit et invitant;10/2018
james r;lincoln, nebraska;31;53;50;10/2018;grande valeur historique;10/2018
rosezdent;san antonio, texas;52;3;50;09/2018;what a place history in action;07/2018
funtimefamily12;lake ronkonkoma, etat de new york;661;271;30;09/2018;on the mission trail;08/2018
autumncs;singapour, singapour;187;123;50;08/2018;small mission with less crowds;08/2018
net2nd;wilmington, caroline du nord;96;32;50;07/2018;great old mission;07/2018
pferrugia65;alvin, texas;54;17;50;07/2018;fiesta weekend;04/2018
ocean_rover_blue_wat;lafayette, louisiane;513;203;50;07/2018;interesting mission;06/2018
masterchiun;ottawa, canada;117;58;20;06/2018;pas grand chose a voir;06/2018
bob a;None;712;328;50;06/2018;il y avait beaucoup d histoire;05/2018
curtisjamesh;oklahoma city, oklahoma;64;51;30;06/2018;l eglise est ferme a l exception lorsque la messe est en cours;06/2018
rudy w;cartersville, georgie;36;23;40;05/2018;historical perspective;05/2018
nazkar14;north fort myers, floride;82;17;50;05/2018;another mission we visited on vacation in may 2018.;05/2018
qualityjoe;brunswick, ohio;61;21;50;05/2018;qualite joe s critique de la mission san juan capistrano;04/2018
onova2014;moscou, russie;774;400;30;05/2018;less to see...;05/2018
conniec779;dallas, texas;676;324;30;05/2018;just okay for us;05/2018
shuttrrbug;sugar land, texas;521;237;50;05/2018;white mission with bell tower still in use today;04/2018
diane p;long island, etat de new york;44;13;50;05/2018;great historical site;04/2018
robert s;chaska, minnesota;292;151;50;04/2018;very old;04/2018
beverly w;reading, pennsylvanie;24;9;50;04/2018;see them all;04/2018
allanjgj;wellington, nouvelle zelande;1570;1763;40;04/2018;only if you re collecting the set;04/2018
119krystlel;None;35;11;40;04/2018;peaceful and picturesque;04/2018
samanthao520;cincinnati, ohio;354;200;20;03/2018;lots of ruins;03/2018
sfron81;homewood, illinois;39;50;50;03/2018;must to see;03/2018
texastraveler052;plano, texas;36;7;50;03/2018;take guided tour;03/2018
faye l;sandston, virginie;182;58;50;03/2018;one of 5;03/2018
dianel103;lake placid, floride;232;143;40;03/2018;a quiet mission site;03/2018
jeannene a;hannacroix, etat de new york;561;270;40;02/2018;another beautiful mission;02/2018
bzimm08;okinawa prefecture, japon;1199;660;30;01/2018;significant but underwhelming;01/2018
anna_di_gi;roseto degli abruzzi, italie;100;16;40;05/2018;una missione piccolina;03/2018
82mac;varsovie, pologne;55;5;50;08/2018;zdecydowanie najciekawsza;08/2018
