Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
ericdf9067al;tuchan, france;201;97;40;march 29 2019;pour voir le site non restaure le plus ancien des usa;march 2019
pdg299;saint eustache, canada;258;164;50;march 25 2018;premiere mission;march 2018
jay p;bangalore, inde;199;87;50;september 5 2021;amazing view and gorgeous church;september 2021
676janieh;south bend, indiana;39;8;50;august 13 2021;tour;august 2021
tastefullycoco;warrington, pennsylvanie;573;141;50;june 29 2021;very enjoyable;june 2021
mark d;weatherford, texas;597;249;50;june 5 2021;another must see;june 2021
mojomanchi;il;5;6;50;may 30 2021;our docent made our day;may 2021
christopher v;new york, etat de new york;649;320;50;may 22 2021;great but not the best;may 2021
kren250;iowa;565;689;50;may 9 2021;absolutely beautiful. a must see.;may 2021
python574;mount juliet, tennessee;671;227;40;april 30 2021;lovely church;may 2020
clucumber;quincy, illinois, united states;73;32;50;march 30 2021;lovely mission, darn covid for not having ability to have a docent;march 2021
rtnw;austin, texas;1175;111;50;march 27 2021;great stop on the mission trail;march 2021
jerry f;pilot point, texas;262;120;50;march 24 2021;great stop;march 2021
cdandoy;gilbert, arizona;284;167;50;march 13 2021;great;march 2021
jariv4;houston, texas;22;7;50;march 12 2021;historical spanish church;february 2021
jerrysr9678qb;owasso;86;12;50;october 23 2020;endroit magnifique;october 2020
waunderlust_forever;houston, texas;845;257;50;october 21 2020;huge;october 2020
robertc14;gulf shores, alabama;616;377;50;june 16 2020;mission concepcion;may 2020
954gagec;houston, texas;41;11;50;march 20 2020;bel endroit, temporairement en reparation;march 2020
boo2u;bowie, maryland;328;334;50;january 24 2020;interessant et amusant;december 2019
ddawnb75;newton falls, ohio;17;10;50;january 21 2020;pluvieux mais ca vaut le coup.;january 2020
stephen366;greater london, royaume uni;140;103;20;january 15 2020;decu;january 2020
dizzybeez;culpeper, virginie;18;21;50;january 6 2020;mission concepcion;january 2020
sheala v;None;17;41;50;january 4 2020;voila a quoi ressemble ma vision d une mission.;december 2019
joern5828yq;detroit, michigan;51;34;50;january 3 2020;super arrêt;december 2019
virginatlantic;royaume uni;61;79;50;december 30 2019;wow;september 2019
agnesr924;miami, floride;134;60;50;december 28 2019;the closest other mission on the road of san antonio missions;december 2019
493haroldb;hot springs, arkansas;38;10;40;december 21 2019;vaut l arrêt;december 2019
grover r;pensacola, floride;1803;1085;50;november 28 2019;grande eglise de mission entouree par la ville;november 2019
travelerfromsj;san jose, californie;507;665;50;november 22 2019;non restaure;november 2019
chinapjs;washington, district de columbia;3703;1085;50;november 22 2019;une des plus jolies missions ne manque pas la messe dominicale mariachi;november 2019
vincent m;nouvelle orleans, louisiane;594;902;50;november 4 2019;remarkably historic;october 2019
rachels1689;pittsburgh, pennsylvanie;81;42;50;november 1 2019;magnifiquement preserve;november 2019
dwight l;lincoln, nebraska;73;29;50;october 25 2019;merveilleux de voir une histoire comme celle ci. tres bien conserve.;october 2019
417juliec417;glen ellyn, illinois;50;49;50;october 24 2019;fais le.;october 2019
suzyqu15;brooklyn, etat de new york;994;387;40;october 22 2019;une autre mission historique sur le sentier;october 2019
ianbeavis;los angeles, californie;591;190;50;october 19 2019;utilise continuellement et inchange;october 2019
don t;brisbane, australie;186;99;50;october 19 2019;juste aller;july 2019
silverstreak46;vienna, virginie;305;126;50;september 22 2019;grande mission;may 2019
dawn c;virginia beach, virginie;104;75;50;september 8 2019;juste magnifique;august 2019
deborah j;None;8;8;40;september 3 2019;rate d un jour;august 2019
steve t;None;260;108;50;august 28 2019;a voir;august 2019
elsa a;None;26;43;50;august 18 2019;un vrai tresor. pas grand chose a voir a l exterieur mais bien preserve a l interieur.;august 2019
kenm2711;detroit, michigan;39;13;50;august 9 2019;well preserved mission;august 2019
charles z;None;19;4;50;august 7 2019;sentiers de mission;july 2019
mrsgway2;orange park, floride;123;147;50;july 29 2019;la beaute est son nom;july 2019
danbud;houston, texas;231;70;50;july 12 2019;belle promenade a travers un long passe.;july 2019
m448zskathleenw;mandeville, louisiane;35;28;40;july 4 2019;marcher a travers l histoire;july 2019
sharon g;lubbock, texas;186;51;50;june 12 2019;notre premier coup d œil sur l histoire des missions;june 2019
miscellani;None;128;114;50;june 5 2019;gorgeous and well preserved   worth the stop;june 2019
rolf a;chicago, illinois;399;91;50;june 5 2019;finest preserved interior;june 2019
sylviagp1972;san antonio, texas;5;2;50;june 4 2019;beautiful place, friendly parish;june 2019
karin n;boca raton;64;19;50;may 30 2019;belle;may 2019
j m;richmond, virginie;137;50;40;may 28 2019;vaut le detour;april 2019
asdavis14;fort worth, texas;83;53;50;may 20 2019;most preserved mission;may 2019
susan o;lisle, illinois;67;13;50;may 7 2019;endroit special pour voir;april 2019
swimfins;houston, texas;637;208;50;april 20 2019;site bien preserve;april 2019
m e r;boynton beach, floride;384;170;50;april 14 2019;une eglise catholique active dans cette mission vieille de pres de 300 ans;april 2019
rpkasper;lewiston, idaho;26;25;50;april 14 2019;belle architecture;march 2019
timothy m;groton, united states;143;15;40;april 6 2019;deuxieme meilleur des missions (san jose est le premier);april 2019
olivert340;blaine, minnesota;52;10;50;march 12 2019;awesome history;march 2019
860susanb860;rockwall, texas;1019;343;40;march 6 2019;historic mission well worth a visit;february 2019
kiki s;charleston, virginie occidentale;88;38;50;february 27 2019;well preserved, up close mission;april 2018
sidchen2017;menlo park, californie;164;117;40;february 25 2019;une mission magnifiquement preservee;february 2019
holly w;reading, pennsylvanie;410;150;40;february 25 2019;l histoire et la beaute se conjuguent;february 2019
auntiem64;eastern nc;294;268;40;february 24 2019;une mission bien conservee;february 2019
carole m;des moines, united states;155;77;50;february 21 2019;tres bien conserve et vaut le detour;february 2019
lvsquared;san antonio, texas;343;109;50;february 14 2019;petit mais agreable a voir;january 2019
cindy k;tucson, arizona;21;1;50;february 14 2019;beautiful;february 2019
lorris523;rochester, etat de new york;17;5;50;february 13 2019;informative history session inside the church;february 2019
b1714d;belgrade, serbie;3780;3008;40;february 10 2019;le plus proche du centre ville;january 2019
sgeries;yukon, oklahoma;106;32;50;february 8 2019;belle mission, bien entretenue et restauree;february 2019
bwanderer1;everett, etat de washington;590;175;40;january 31 2019;northernmost of four;december 2018
bill k;mchenry, illinois;87;35;50;january 21 2019;le culte se passe encore ici;february 2018
helene g;iroquois, canada;99;65;20;january 18 2019;pas la peine de s arrêter;january 2019
okworldtraveler923;None;135;79;50;january 15 2019;tresor cache;december 2018
linda c;fairfax, virginie;237;164;30;january 11 2019;interessant mais un peu a l ecart sans voiture;february 2018
georgiagirl61;augusta, georgia;25;12;50;january 6 2019;mission concepcion;december 2018
zmtrivette;bethesda, maryland;32;4;50;january 4 2019;histoire de la mission;october 2018
gay e;houston, texas;434;128;50;january 3 2019;vaut le detour;december 2018
patzmorelia;morelia, mexique;73;32;50;december 31 2018;reculer dans l histoire;january 2018
carron d;bismarck, dakota du nord;327;106;30;december 31 2018;belle vieille eglise;december 2018
juliebfromindy;indianapolis, indiana;652;317;50;december 27 2018;mystere et reverence;december 2018
extroop;fort worth, texas;102;34;50;december 24 2018;un merveilleux exemple d architecture des annees 1700;december 2018
philip c;york, maine;468;359;50;december 21 2018;matachines ;december 2018
gumgrove;spring, texas;558;189;50;december 19 2018;first stop on the mission trail;december 2018
bonosb;honolulu, hawai;50;23;50;december 13 2018;excellente visite;december 2018
sgtshan;muncie, indiana;107;58;40;december 11 2018;texas en decembre;december 2018
