Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
rationalm633;None;9;9;50;july 13 2021;my favorite of the san antonio missions;may 2021
tastefullycoco;warrington, pennsylvanie;573;141;50;june 29 2021;quiet and beautiful;june 2021
mark d;weatherford, texas;597;249;50;june 5 2021;start your mission tour here;june 2021
christopher v;new york, etat de new york;649;320;50;may 22 2021;quaint mission;may 2021
kren250;iowa;565;689;50;may 9 2021;very peaceful;
russella668;portland, oregon;142;93;30;april 26 2021;not quite as cool;april 2021
rtnw;austin, texas;1175;111;40;march 27 2021;well worth the stop;march 2021
bill b;pueblo, colorado;723;308;50;october 31 2020;incredible facility;october 2020
jerrysr9678qb;owasso;86;12;50;october 23 2020;quel endroit a visiter.;october 2020
kythoro;lexington, caroline du sud;796;718;40;october 23 2020;mission historique;october 2020
954gagec;houston, texas;41;11;50;march 20 2020;interessant comme toutes les missions;march 2020
daydream189600;None;5;1;50;february 16 2020;mission sanjuan;february 2020
axj23;cincinnati, ohio;177;81;50;february 8 2020;magnifique;february 2020
tatts15;centennial, colorado;391;117;50;january 24 2020;interessant;january 2020
boo2u;bowie, maryland;328;334;50;january 24 2020;similaire aux autres missions mais different;december 2019
gbamandar;green bay, wisconsin;170;59;50;january 21 2020;sentiers de randonnee;january 2020
randifayec;longwood, floride;972;324;40;january 17 2020;super arrêt sur la piste;december 2019
dizzybeez;culpeper, virginie;18;21;50;january 6 2020;mission san juan;january 2020
joern5828yq;detroit, michigan;51;34;50;january 3 2020;magnifique;december 2019
grover r;pensacola, floride;1803;1085;40;november 25 2019;the most modest of the missions;november 2019
travelerfromsj;san jose, californie;507;665;40;november 22 2019;en construction;november 2019
rachels1689;pittsburgh, pennsylvanie;81;42;40;november 1 2019;un peu d histoire;november 2019
417juliec417;glen ellyn, illinois;50;49;50;october 24 2019;un incontournable;october 2019
696johni;None;6;1;50;october 20 2019;cool;october 2019
dawn c;virginia beach, virginie;104;75;50;september 8 2019;juste magnifique;august 2019
debra m;None;57;58;40;august 26 2019;jolis terrains;august 2019
barry b;san antonio, texas;224;23;50;june 18 2019;nous sommes alles avec notre groupe de la marine;october 2018
asdavis14;fort worth, texas;83;53;30;may 21 2019;small humble mission;may 2019
roy h;None;32;14;30;may 7 2019;une des missions rinky dink sur la piste;april 2019
fellowtraveler14380;rochester, etat de new york;11;0;40;may 1 2019;belle petite mission;april 2019
foxtrot79;mount pleasant, texas;46;7;50;april 30 2019;grand site historique;april 2019
jp_y_lp;portland, oregon;276;141;40;april 29 2019;jolie petite chapelle;april 2019
m e r;boynton beach, floride;384;170;40;april 14 2019;eglise romane nue dans une grande mission le long de la riviere;april 2019
rpkasper;lewiston, idaho;26;25;50;april 14 2019;mission tour;march 2019
timothy m;groton, united states;143;15;50;april 6 2019;un petit bijou;april 2019
olivert340;blaine, minnesota;52;10;50;march 12 2019;awesome history;march 2019
auntiem64;eastern nc;294;268;20;february 24 2019;pas grand chose a voir;february 2019
carole m;des moines, united states;155;77;50;february 21 2019;souvent neglige, mais merite une breve visite;february 2019
i9399njgemmas;None;103;50;20;february 17 2019;peut lui manquer;february 2019
b1714d;belgrade, serbie;3780;3008;30;february 11 2019;the least interesting one;january 2019
sgeries;yukon, oklahoma;106;32;40;february 7 2019;temps interessant;february 2019
bwanderer1;everett, etat de washington;590;175;40;january 31 2019;the largest, most touristy;december 2018
bill k;mchenry, illinois;87;35;50;january 21 2019;une autre retraite tranquille;february 2018
carron d;bismarck, dakota du nord;327;106;30;december 31 2018;une tres vieille eglise;december 2018
juliebfromindy;indianapolis, indiana;652;317;40;december 27 2018;eglise de granary;december 2018
extroop;fort worth, texas;102;34;50;december 24 2018;mission abueautif;december 2018
gumgrove;spring, texas;558;189;50;december 19 2018;worth stopping for;december 2018
sgtshan;muncie, indiana;107;58;40;december 11 2018;texas en decembre;december 2018
cjtravelertexas;bryan, texas;2056;2045;40;november 26 2018;qui vaut le coup d être visite;november 2018
0325johanna;boston, massachusetts;60;26;50;november 24 2018;joli endroit;november 2018
baja001;the villages, floride;232;82;40;november 22 2018;une des meilleures missions de san antonio le long de mission trail;november 2018
lynnc9864;armada, michigan;52;17;50;november 11 2018;mon prefere des 5;november 2018
716sachink;plainview, etat de new york;1113;17134;40;november 10 2018;qui vaut le coup d être visite;november 2018
bncrxplorerz;pittsburgh, pennsylvanie;294;328;50;november 8 2018;petit et invitant;october 2018
james r;lincoln, nebraska;31;53;50;october 2 2018;grande valeur historique;october 2018
rosezdent;san antonio, texas;52;3;50;september 21 2018;what a place history in action;july 2018
funtimefamily12;lake ronkonkoma, etat de new york;661;271;30;september 5 2018;on the mission trail;august 2018
autumncs;singapour, singapour;187;123;50;august 27 2018;small mission with less crowds;august 2018
net2nd;wilmington, caroline du nord;96;32;50;july 25 2018;great old mission;july 2018
pferrugia65;alvin, texas;54;17;50;july 23 2018;fiesta weekend;april 2018
ocean_rover_blue_wat;lafayette, louisiane;513;203;50;july 2 2018;interesting mission;june 2018
masterchiun;ottawa, canada;117;58;20;june 10 2018;pas grand chose a voir;june 2018
bob a;None;712;328;50;june 8 2018;il y avait beaucoup d histoire;may 2018
