date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,-10.7,-16.4,-6.4,,,,10.2,,1017.5,
2019-01-02,-9.1,-14.4,-3.4,,,,24.7,,1022,
2019-01-03,-4.8,-15.4,7.6,0,,,10.3,,1027.2,
2019-01-04,3,-4.4,13.6,0,,,12.6,,,
2019-01-05,3.6,0.6,8.6,,,152.6,20.8,,,
2019-01-06,-0.7,-3.4,0.6,,,,,,,
2019-01-07,-0.7,-4.4,2.6,,,,10.3,,,
2019-01-08,2.4,-4.4,8.6,0,,145.4,18.7,,1028,
2019-01-09,4.4,0.6,11.6,0,,,14.4,,1025.7,
2019-01-10,3.9,-0.4,10.6,,,,12,,,
2019-01-11,-0.4,-6.4,6.6,0,,,8.1,,1018.5,
2019-01-12,-0.2,-5.4,6.6,0,,,13.9,,1020.6,
2019-01-13,-1.9,-3.1,-0.4,,,68.4,12.6,,1018.8,
2019-01-14,0.4,-3.4,4.6,,,52.5,14.2,,1022.6,
2019-01-15,1.3,-0.4,3.6,,,,14.6,,1018.4,
2019-01-16,2.1,-1.4,5.6,,,,13.2,,1022.3,
2019-01-17,2.4,-1.4,6.6,,,186.1,17.9,,1022.3,
2019-01-18,2.1,-3.4,4.6,,,,19.5,,1019.2,
2019-01-19,0.4,-6.4,9.6,0,,,8.5,,1028.8,
2019-01-20,1.7,-6.5,10.8,0,,,9,,1021.8,
2019-01-21,1.2,-3.4,5.6,,,248,30.1,,1007.2,
2019-01-22,-3.7,-7.4,1.6,,,,19.5,,1018.5,
2019-01-23,-2.1,-12.6,9.6,0,,,4.5,,1025.5,
2019-01-24,0.3,-6.4,7.6,0,,,9.7,,1021.9,
2019-01-25,-1,-9.4,8.6,0,,,7.4,,1024,
2019-01-26,1.3,-4.4,7.6,0,,,10.9,,1023.4,
2019-01-27,2.4,-5.4,13.6,0,,,11.4,,1022,
2019-01-28,2.2,-6.4,11.6,0,,,12.2,,1017.5,
2019-01-29,4.4,0.6,9.6,0,,178.9,13.1,,1015,
2019-01-30,4.1,-3.4,11.6,0,,,12.5,,1015,
2019-01-31,3.4,-3.4,10.6,0,,,12.8,,1016.5,
2019-02-01,2.7,-3.1,9.6,0,,,4.9,,1016.4,
2019-02-02,4.9,1.6,9.6,,,157.2,24.3,,1013.9,
2019-02-03,3.6,0.6,6.6,,,207.7,26.1,,1008,
2019-02-04,2.1,0.6,4.6,,,183.3,30,,1007.8,
2019-02-05,0.3,-0.4,1.6,,,206.6,32.5,,1006.4,
2019-02-06,-6.4,-13.4,-2.4,,,,21.7,,,
2019-02-07,-8.9,-17.6,0.8,0,,,6.4,,1025,
2019-02-08,-2,-9.4,5.6,0,,155.3,17.8,,1023.4,
2019-02-09,-0.3,-4.4,2.6,0,,,20.7,,1015,
2019-02-10,-1.6,-6.4,3.6,0,,,23.3,,1013.5,
2019-02-11,-6.4,-12.4,-1.4,,,,14.5,,1015,
2019-02-12,-1.9,-12.4,7.6,0,,,14.8,,1025.8,
2019-02-13,2,-5.4,5.8,,,,17.5,,1016.1,
2019-02-14,3.8,-0.4,6.6,,,177.2,27.8,,,
2019-02-15,2.3,-0.4,5.2,,,227.2,21.3,,1012.2,
2019-02-16,-1.6,-4.4,0.6,,,245.1,18.7,,1009.4,
2019-02-17,-5,-7.4,-2.4,,,,16.4,,,
2019-02-18,-6.2,-8.4,-4.4,,,,12.2,,,
2019-02-19,-8.3,-12.4,-4.4,0,,,8.1,,1014,
2019-02-20,-9,-17.4,-1.4,,,177.1,18.2,,1011.7,
2019-02-21,-5.7,-6.4,-4.4,36.7,,,19,,1001.3,
2019-02-22,-6.5,-9.4,-3.4,,,,10.1,,1007.5,
2019-02-23,-10.3,-21.4,-0.4,0,,,6.4,,1022.9,
2019-02-24,-4.5,-14.4,3.6,0,,,11.5,,1024.7,
2019-02-25,-1.5,-9.4,6.6,0,,,7,,1021.6,
2019-02-26,-0.6,-10.4,8,0,,,6.4,,1021.7,
2019-02-27,5.9,2.6,8.6,0,,,16.7,,1019.5,
2019-02-28,5,-3.4,9.6,0,,,17.9,,1017.8,
2019-03-01,5.1,-0.9,10.8,0,,,16.4,,1015.5,
2019-03-02,3.2,1.3,4.6,,,232.1,20.2,,1013.5,
2019-03-03,5.1,1.6,10.6,0,,,16.4,,1013.4,
2019-03-04,3.7,-2.6,9.6,0,,,8.4,,1014.6,
