date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,0.6,-1,2.3,0,0,18.4,17.9,,1038.2,
2018-01-02,2.1,0.6,4,0,0,35.8,13.1,,1034.4,
2018-01-03,4.3,-3.8,15.1,0,0,,6.1,,1031,
2018-01-04,9,-0.5,16.2,0,0,,6.3,,1027.1,
2018-01-05,11.4,7.9,17.9,0,0,,5.1,,1026.8,
2018-01-06,13.1,6.2,20.6,0,0,,7.6,,1024.8,
2018-01-07,17.4,13.4,22.3,0,0,,10.1,,1016.1,
2018-01-08,17.7,12.3,24.5,0,0,346.3,12.8,,1019,
2018-01-09,13,4.5,23.4,0,0,,3.1,,1018.8,
2018-01-10,15.8,7.3,25.1,0,0,,11.7,,1011,
2018-01-11,17.9,12.3,25.1,0,0,,16.2,,1011.6,
2018-01-12,12,6.2,20.1,0,0,25.9,12.6,,1024.5,
2018-01-13,8.6,3.4,15.6,0,0,,10.9,,1032.8,
2018-01-14,9.6,0.1,19.5,0,0,,6.5,,1030.8,
2018-01-15,14.5,6.2,24,0,0,,9.3,,1024.7,
2018-01-16,1.9,-0.5,11.8,2.3,0,12.5,26,,1036.8,
2018-01-17,1.4,-2.1,4,0,0,,10.3,,1039.5,
2018-01-18,6.1,2.9,9.5,0,0,,5.1,,1032.3,
2018-01-19,9.4,6.8,11.8,2.5,0,,4.2,,1022.3,
2018-01-20,13.6,11.2,17.9,0,0,,4.4,,1016.7,
2018-01-21,19.9,12.9,24,0,0,,10.7,,1011.7,
2018-01-22,15.6,7.9,21.8,0,0,317.5,11.8,,1017.8,
2018-01-23,9.6,0.6,20.1,0,0,,2.5,,1024.5,
2018-01-24,10.7,2.9,20.6,0,0,,5.6,,1029.7,
2018-01-25,10.6,1.2,17.3,0,0,,8.3,,1028.3,
2018-01-26,16.7,12.9,20.6,1.5,0,98,7.7,,1021.3,
2018-01-27,20.2,17.9,24,0.8,0,,9,,1020.7,
2018-01-28,17.5,11.2,23.4,0,0,354.1,10.2,,1024,
2018-01-29,15.6,6.8,24,0,0,9.5,11.7,,1030.3,
2018-01-30,13.2,6.2,21.8,0,0,107.5,10.1,,1029.1,
2018-01-31,14.9,7.3,24,0,0,,9,,1018.8,
2018-02-01,18.7,10.1,29,0,0,,10.8,,1016.1,
2018-02-02,14.6,11.2,17.9,0,0,57.4,15.6,,1026.8,
