Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
tastefullycoco;warrington, pennsylvanie;573;141;50;june 29 2021;enjoyable;june 2021
kren250;iowa;565;689;50;june 29 2021;a very worthwhile stop.;june 2021
afnviking36;rota, andalucia, spain;15;20;50;june 26 2021;catholic service outside;may 2021
mark d;weatherford, texas;597;249;50;june 5 2021;very quaint;june 2021
christopher v;new york, etat de new york;649;320;50;may 22 2021;quick stop on the mission trail;may 2021
markhw8437vb;None;5;5;40;may 19 2021;highly recommended;may 2021
russella668;portland, oregon;142;93;40;april 26 2021;cute little church at the end of the trail;april 2021
zamboni12043;myrtle beach, caroline du sud;11;7;40;april 21 2021;small, but nice;april 2021
rtnw;austin, texas;1175;111;40;march 27 2021;interesting and at the end of our trip;march 2021
bunmaster2014;boca raton, floride;2298;1206;30;january 2 2021;remnants, relics and a chapel;january 2021
jerrysr9678qb;owasso;86;12;50;october 23 2020;wow, un autre beau morceau d histoire.;october 2020
954gagec;houston, texas;41;11;50;march 20 2020;la plus isolee des missions;march 2020
james f;dayton, texas;25;47;40;february 3 2020;joli petit endroit.;february 2020
tatts15;centennial, colorado;391;117;50;january 24 2020;formidable;january 2020
boo2u;bowie, maryland;328;334;40;january 24 2020;c est petit;december 2019
randifayec;longwood, floride;972;324;40;january 17 2020;petit mais ne manquez pas;december 2019
tabristoluk;bristol, royaume uni;56;30;50;january 10 2020;peut être la plus petite et la plus douce des missions a la fin du sentier;january 2020
joern5828yq;detroit, michigan;51;34;50;january 3 2020;magnifique;december 2019
grover r;pensacola, floride;1803;1085;50;november 25 2019;do not miss this secluded gem. not just history but living today.;november 2019
1164jeanneb;san antonio, texas;19;2;50;november 24 2019;paisible;october 2019
travelerfromsj;san jose, californie;507;665;40;november 22 2019;petite eglise;november 2019
rachels1689;pittsburgh, pennsylvanie;81;42;40;november 1 2019;pittoresque;november 2019
417juliec417;glen ellyn, illinois;50;49;50;october 24 2019;partie d un grand week end;october 2019
panorby;breckenridge;5;0;50;october 9 2019;mission espada;september 2019
dawn c;virginia beach, virginie;104;75;50;september 8 2019;vraiment sympa, mais n a pas penetre a l interieur;august 2019
749rachelm;austin, texas, united states;61;20;40;july 18 2019;la plus petite des missions;july 2019
maryq46;san antonio, texas;155;125;50;july 14 2019;belle eglise, beau terrain;june 2019
alamosmexico;alamos, mexique;38;24;50;june 30 2019;mission espada a touche mon âme;august 2018
olphart48;austin, texas;28;6;50;june 23 2019;mon prefere;june 2019
mojomo;texas;397;221;50;june 15 2019;sentiment tres paisible;june 2019
sharon g;lubbock, texas;186;51;50;june 12 2019;detendez vous a l ombre des arbres, des fleurs et des plantes;june 2019
rolf a;chicago, illinois;399;91;50;june 5 2019;fine mexican baroque in texas;june 2019
fietsen1;texas;145;77;40;may 29 2019;nice find;may 2019
asdavis14;fort worth, texas;83;53;30;may 20 2019;beautiful small mission;may 2019
didi02453;boston ma;96;33;40;may 6 2019;interessant;may 2019
timothy m;groton, united states;143;15;40;may 1 2019;beau bâtiment de la mission, pas aussi accessible qu il pourrait l être;april 2019
foxtrot79;mount pleasant, texas;46;7;50;april 30 2019;tres interessant;april 2019
jp_y_lp;portland, oregon;276;141;50;april 29 2019;mieux que prevu;april 2019
m e r;boynton beach, floride;384;170;30;april 14 2019;petite eglise de mission avec quelques salles restaurees;april 2019
rpkasper;lewiston, idaho;26;25;50;april 14 2019;mission n ° 1;march 2019
polka dot umbrella;cincinnati, ohio;128;55;40;april 8 2019;faites toute la tournee de la mission de san antonio;april 2019
chicago90phoenix;phoenix;1240;466;40;march 17 2019;visite obligatoire si vous êtes un fan de mission comme moi;march 2019
saexplorers;little rock, arkansas;141;40;50;march 14 2019;plus d histoire que j ai realise.;march 2019
olivert340;blaine, minnesota;52;10;50;march 12 2019;awesome history;march 2019
holly w;reading, pennsylvanie;410;150;40;february 25 2019;vaut la visite;february 2019
auntiem64;eastern nc;294;268;30;february 24 2019;une belle petite mission;february 2019
carole m;des moines, united states;155;77;40;february 21 2019;une des plus petites missions sur le sentier;february 2019
i9399njgemmas;None;103;50;20;february 17 2019;peut lui donner un mkss;february 2019
b1714d;belgrade, serbie;3780;3008;40;february 10 2019;le plus eloigne;january 2019
sgeries;yukon, oklahoma;106;32;50;february 7 2019;belle mission, excellent centre d accueil et boutique de cadeaux;february 2019
bwanderer1;everett, etat de washington;590;175;50;january 31 2019;less trafficked than the others;december 2018
bill k;mchenry, illinois;87;35;50;january 21 2019;un bel endroit pour mediter;february 2018
gay e;houston, texas;434;128;50;january 3 2019;beau;december 2018
carron d;bismarck, dakota du nord;327;106;30;december 31 2018;la plus ancienne des eglises de la mission de san antonio;december 2018
juliebfromindy;indianapolis, indiana;652;317;40;december 27 2018;la vie de mission;december 2018
aviatrx;san antonio, texas;82;64;30;december 25 2018;grand velo sur mission trail regardez vos affaires   enfants;december 2018
extroop;fort worth, texas;102;34;50;december 24 2018;site historique de charme;december 2018
