Date;Temp;Pluie;nb_visiteurs;note_moyenne;note_count
janv-18;2.65;0.04;3715;4.87;82
févr-18;1.16;0.29;3063;4.89;89
mars-18;4.81;0.38;5134;4.86;140
avr-18;10.34;0.07;5781;4.89;170
mai-18;13.18;0.04;4885;4.9;153
juin-18;19.64;0.05;2781;4.85;161
juil-18;20.37;0.44;1992;4.86;155
août-18;19.35;0.51;1777;4.79;173
sept-18;16.39;0.09;1769;4.85;145
oct-18;7.92;0.77;1983;4.86;132
nov-18;2.91;0.07;1367;4.88;67
déc-18;0.18;0.17;2127;4.88;65
janv-19;0.38;2.06;1695;4.9;50
févr-19;-1.93;2.24;1242;4.86;36
mars-19;4.17;1.35;2278;4.89;89
avr-19;8.93;0.6;2246;4.94;107
mai-19;8.52;2.6;2402;4.94;111
juin-19;17.19;0.14;2751;4.77;95
juil-19;20.48;0.52;3118;4.87;100
août-19;20.68;0.58;2024;4.91;113
sept-19;15.92;0.55;1769;4.83;120
oct-19;8.61;0.01;2259;4.85;89
nov-19;4.19;0.89;2062;4.93;60
déc-19;0.22;1.38;1744;4.87;38
janv-20;0.78;0.57;1555;4.68;19
févr-20;1.61;0.16;1533;4.88;34
mars-20;4.13;2.05;1716;5;32
avr-20;8.62;0.73;723;5;1
mai-20;14.83;0.08;526;5;3
juin-20;18.72;0.03;1325;5;15
juil-20;21.45;0.32;2132;4.5;16
août-20;21.63;0.28;2071;4.93;14
sept-20;17.52;0.15;2607;4.86;14
oct-20;12.11;0.02;3088;4.95;21
nov-20;5.79;0.39;2316;4.67;12
déc-20;0.08;0.18;1578;4.88;8
janv-21;-0.19;0.65;1461;5;6
févr-21;1.21;0.34;864;4.75;4
mars-21;3.02;1.43;1198;4.46;13
avr-21;9.71;1.12;1695;4.3;23
mai-21;13.79;0.05;1880;4.81;26
juin-21;20.88;0.11;1846;5;23
juil-21;20.65;3.15;1670;5;7
août-21;19.22;0.68;1303;4.73;11
sept-21;16.33;0.38;1236;5;8
oct-21;0;0;;0;0
nov-21;0;0;;0;0
déc-21;0;0;;0;0
